anime_id,title,status,aired_string,score,scored_by,rank,popularity,members,genre
11013,Inu x Boku SS,Finished Airing,"Jan 13, 2012 to Mar 30, 2012",7.63,139250.0,1274.0,231.0,283882.0,"Comedy, Supernatural, Romance, Shounen"
2104,Seto no Hanayome,Finished Airing,"Apr 2, 2007 to Oct 1, 2007",7.89,91206.0,727.0,366.0,204003.0,"Comedy, Parody, Romance, School, Shounen"
5262,Shugo Chara!! Doki,Finished Airing,"Oct 4, 2008 to Sep 25, 2009",7.55,37129.0,1508.0,1173.0,70127.0,"Comedy, Magic, School, Shoujo"
721,Princess Tutu,Finished Airing,"Aug 16, 2002 to May 23, 2003",8.21,36501.0,307.0,916.0,93312.0,"Comedy, Drama, Magic, Romance, Fantasy"
12365,Bakuman. 3rd Season,Finished Airing,"Oct 6, 2012 to Mar 30, 2013",8.67,107767.0,50.0,426.0,182765.0,"Comedy, Drama, Romance, Shounen"
6586,Yume-iro Pâtissière,Finished Airing,"Oct 4, 2009 to Sep 26, 2010",8.03,21618.0,526.0,1630.0,45625.0,"Kids, School, Shoujo"
178,Ultra Maniac,Finished Airing,"May 20, 2003 to Nov 11, 2003",7.26,9663.0,2594.0,2490.0,22778.0,"Magic, Comedy, Romance, School, Shoujo"
2787,Shakugan no Shana II (Second),Finished Airing,"Oct 5, 2007 to Mar 28, 2008",7.72,126085.0,1066.0,332.0,220591.0,"Action, Drama, Fantasy, Romance, School, Supernatural"
4477,Nodame Cantabile: Paris-hen,Finished Airing,"Oct 10, 2008 to Dec 19, 2008",8.24,53908.0,281.0,988.0,85660.0,"Music, Slice of Life, Comedy, Romance, Josei"
853,Ouran Koukou Host Club,Finished Airing,"Apr 5, 2006 to Sep 27, 2006",8.34,335137.0,205.0,69.0,538843.0,"Comedy, Harem, Romance, School, Shoujo"
4814,Junjou Romantica 2,Finished Airing,"Oct 12, 2008 to Dec 28, 2008",8.15,66565.0,374.0,799.0,108186.0,"Comedy, Drama, Romance, Shounen Ai"
7054,Kaichou wa Maid-sama!,Finished Airing,"Apr 2, 2010 to Sep 24, 2010",8.2,315130.0,314.0,71.0,531292.0,"Comedy, Romance, School, Shoujo"
11123,Sekaiichi Hatsukoi 2,Finished Airing,"Oct 8, 2011 to Dec 24, 2011",8.23,53285.0,288.0,945.0,89543.0,"Comedy, Drama, Romance, Shounen Ai"
14227,Tonari no Kaibutsu-kun,Finished Airing,"Oct 2, 2012 to Dec 25, 2012",7.71,281448.0,1093.0,88.0,482105.0,"Slice of Life, Comedy, Romance, School, Shoujo"
269,Bleach,Finished Airing,"Oct 5, 2004 to Mar 27, 2012",7.9,433097.0,693.0,18.0,819284.0,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen"
59,Chobits,Finished Airing,"Apr 3, 2002 to Sep 25, 2002",7.53,175388.0,1546.0,188.0,317641.0,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen"
6045,Kimi ni Todoke,Finished Airing,"Oct 7, 2009 to Mar 31, 2010",8.13,212710.0,400.0,111.0,417136.0,"Slice of Life, Drama, Romance, School, Shoujo"
1735,Naruto: Shippuuden,Finished Airing,"Feb 15, 2007 to Mar 23, 2017",8.18,385179.0,337.0,20.0,794112.0,"Action, Adventure, Comedy, Super Power, Martial Arts, Shounen"
210,Ranma ½,Finished Airing,"Apr 15, 1989 to Sep 25, 1992",7.85,59911.0,802.0,623.0,134537.0,"Slice of Life, Comedy, Martial Arts, Fantasy"
4224,Toradora!,Finished Airing,"Oct 2, 2008 to Mar 26, 2009",8.39,557898.0,174.0,13.0,910373.0,"Slice of Life, Comedy, Romance, School"
10030,Bakuman. 2nd Season,Finished Airing,"Oct 1, 2011 to Mar 24, 2012",8.49,122090.0,108.0,374.0,201720.0,"Comedy, Drama, Romance, Shounen"
74,Gakuen Alice,Finished Airing,"Oct 30, 2004 to May 14, 2005",7.77,33244.0,941.0,1291.0,62951.0,"Comedy, School, Shoujo, Super Power"
4722,Skip Beat!,Finished Airing,"Oct 6, 2008 to Mar 30, 2009",8.24,90699.0,282.0,488.0,164738.0,"Comedy, Drama, Romance, Shoujo"
14397,Chihayafuru 2,Finished Airing,"Jan 12, 2013 to Jun 29, 2013",8.47,62720.0,116.0,757.0,114340.0,"Drama, Game, Josei, School, Slice of Life, Sports"
1557,Shounen Onmyouji,Finished Airing,"Oct 3, 2006 to Mar 13, 2007",7.68,14619.0,1158.0,1793.0,39422.0,"Action, Magic, Fantasy, Supernatural, Demons, Historical, Shoujo"
10800,Chihayafuru,Finished Airing,"Oct 5, 2011 to Mar 28, 2012",8.29,89081.0,246.0,348.0,213902.0,"Drama, Game, Josei, School, Slice of Life, Sports"
3731,Itazura na Kiss,Finished Airing,"Apr 5, 2008 to Sep 25, 2008",7.7,91187.0,1108.0,473.0,170224.0,"Comedy, Romance, Shoujo"
9513,Beelzebub,Finished Airing,"Jan 9, 2011 to Mar 25, 2012",8.02,136105.0,528.0,208.0,302082.0,"Action, Comedy, Demons, Supernatural, School, Shounen"
5835,Hanasakeru Seishounen,Finished Airing,"Apr 5, 2009 to Feb 14, 2010",7.87,16772.0,753.0,1654.0,44633.0,"Drama, Romance, Shoujo"
9863,SKET Dance,Finished Airing,"Apr 7, 2011 to Sep 27, 2012",8.33,44132.0,213.0,646.0,130264.0,"Comedy, School, Shounen"
7817,B-gata H-kei,Finished Airing,"Apr 2, 2010 to Jun 18, 2010",7.1,142827.0,3193.0,285.0,244791.0,"Comedy, Romance, Ecchi, School, Seinen"
966,Crayon Shin-chan,Currently Airing,"Apr 13, 1992 to ?",7.73,17683.0,1032.0,1937.0,34788.0,"Slice of Life, Comedy, Ecchi, School, Seinen"
120,Fruits Basket,Finished Airing,"Jul 5, 2001 to Dec 27, 2001",7.77,167968.0,939.0,222.0,292572.0,"Slice of Life, Comedy, Drama, Romance, Fantasy, Shoujo"
